fips,month,avg_temp,min_temp,max_temp
13115,2019-12-01,46.2,37.2,55.2
13117,2019-12-01,45.6,36.4,54.8
13119,2019-12-01,46.8,37.2,56.4
13121,2019-12-01,47.2,37.9,56.5
13123,2019-12-01,43,33.5,52.4
13125,2019-12-01,51.2,40.9,61.4
13127,2019-12-01,56.4,45.8,67.1
13129,2019-12-01,45.5,36.3,54.6
13131,2019-12-01,55.3,44.4,66.2
13133,2019-12-01,48.8,38.4,59.2
13135,2019-12-01,46.6,37.5,55.7
13137,2019-12-01,45.1,36.1,54.1
13139,2019-12-01,46.1,37,55.1
13141,2019-12-01,50.4,39.8,61
13143,2019-12-01,46.6,37,56.2
13145,2019-12-01,49.3,38.4,60.2
13147,2019-12-01,47.2,37.9,56.4
13149,2019-12-01,47.5,37.5,57.4
13151,2019-12-01,48.4,38.4,58.4
13153,2019-12-01,52.6,41.9,63.2
13155,2019-12-01,53.9,43.4,64.3
13157,2019-12-01,47,37.8,56.3
13159,2019-12-01,49.7,38.3,61
13161,2019-12-01,54.1,42.9,65.3
13163,2019-12-01,51.9,41.5,62.2
13165,2019-12-01,53.5,42.3,64.6
13167,2019-12-01,52.6,42.2,63
13169,2019-12-01,51,39.7,62.3
13171,2019-12-01,49.7,38.8,60.5
13173,2019-12-01,54.2,42.5,66
13175,2019-12-01,53.4,43.2,63.5
13177,2019-12-01,53.3,43.1,63.5
13179,2019-12-01,56.2,44.9,67.4
13181,2019-12-01,49.8,40.2,59.4
13183,2019-12-01,55.8,44.1,67.6
13185,2019-12-01,54.4,42.6,66.2
13187,2019-12-01,44.1,34.6,53.5
13189,2019-12-01,50.9,41.1,60.7
13191,2019-12-01,56.5,45.8,67.1
13193,2019-12-01,52,41.2,62.8
13195,2019-12-01,46.8,37.2,56.4
13197,2019-12-01,50.9,40.1,61.6
13199,2019-12-01,48.5,38,59
13201,2019-12-01,54.6,43.7,65.5
13205,2019-12-01,54.4,43.7,65.1
13207,2019-12-01,50.4,39.1,61.8
13209,2019-12-01,53.9,43.1,64.7
13211,2019-12-01,48.8,38.2,59.3
13213,2019-12-01,44.6,35.3,54
13215,2019-12-01,50.7,39.8,61.6
13217,2019-12-01,48.5,38,58.9
13219,2019-12-01,47.7,38,57.4
13221,2019-12-01,47.4,37.3,57.4
13223,2019-12-01,46.7,37.4,56
13225,2019-12-01,52,41.1,62.9
13227,2019-12-01,44.3,35,53.6
13229,2019-12-01,55.4,43.5,67.2
13231,2019-12-01,49,38.5,59.5
13233,2019-12-01,47,37.7,56.3
13235,2019-12-01,53.2,42.9,63.6
13237,2019-12-01,50.1,38.9,61.2
13239,2019-12-01,51.9,41.2,62.6
13241,2019-12-01,43.2,33.9,52.4
13243,2019-12-01,52.2,41.7,62.7
13245,2019-12-01,52.6,42.7,62.5
13247,2019-12-01,47.9,38.1,57.7
13249,2019-12-01,51.5,40.9,62.1
13251,2019-12-01,53.4,42.1,64.8
13253,2019-12-01,55.6,44.4,66.8
13255,2019-12-01,48.8,38.6,59
13257,2019-12-01,46.2,36.5,55.8
13259,2019-12-01,51.4,40.5,62.2
13261,2019-12-01,52.3,42,62.7
13263,2019-12-01,49.9,38.9,60.9
13265,2019-12-01,49.3,39.2,59.2
13267,2019-12-01,55.1,43.4,66.8
13269,2019-12-01,51,40.1,61.9
13271,2019-12-01,54,43.5,64.4
13273,2019-12-01,52.7,42.5,63
13275,2019-12-01,55.1,44.4,65.8
13277,2019-12-01,53.7,43.6,63.9
13279,2019-12-01,54.3,43,65.6
