fips,population,population_per_sqmile
12105,668671,331.17543984926374
12107,72766,87.8974639768043
12109,235503,348.1524620352155
12111,305591,493.6641947216835
12113,170442,148.12752479741124
12115,412144,678.372639727873
12117,455086,1313.2785546041396
12119,120999,208.11640166881415
12121,43924,63.367696406680125
12123,22098,20.990648640166754
12125,15239,60.852735993443126
12127,527634,414.4004672359417
12129,31877,50.03739262167737
12131,65858,57.214515284593276
12133,24566,39.81965901765489
13001,18454,35.92777263361882
13003,8265,23.984710778840054
13005,11228,39.172945217366305
13007,3189,9.180480925590453
13009,45286,169.3633262646715
13011,18510,78.84403359869962
13013,76887,467.60630797901865
13015,103620,220.51153518363398
13017,17154,67.54216185992225
13019,19025,41.573941699917135
13021,153490,597.634705352978
13023,12775,58.320701029235295
13025,18561,41.40614193021671
13027,15622,31.52383589499673
13029,35885,79.12789711001297
13031,74782,108.08376755513989
13033,22550,26.936112474279028
13035,23750,126.42852715030371
13037,6428,22.685152045518024
13039,52714,76.60503465001959
13043,10827,43.40563117165504
13045,116022,230.4811365973327
13047,66299,409.3673940223456
13049,12983,16.541572652048103
13051,287049,579.248272429222
13053,10767,43.1349898632349
13055,24817,79.0808478064125
13057,241910,558.3908658059643
13059,124602,1031.3373206516662
13061,3001,13.93273334955559
13063,278666,1917.975904442916
13065,6743,8.141559595665491
13067,745057,2151.112889566999
13069,42961,71.00888914243089
13071,45606,81.95856568441262
13073,147295,475.88059998273303
13075,17184,73.50108143519138
13077,140516,314.8261562880507
13079,12344,37.79876035009321
13081,22846,81.53174508995382
13083,16227,93.28266975160345
13085,23861,111.60022207193055
13087,26833,43.137900003792424
13089,743187,2743.5798056904646
13091,20919,41.56392290747652
13093,13905,34.84689501064634
13095,91049,271.9409875218274
13097,141840,704.1937503227598
13099,10348,20.0077080854812
13101,3994,9.492085268184992
13103,58689,120.92178957172975
13105,19212,51.26508335086002
13107,22499,32.540681250184655
13109,10727,57.35701740843365
13111,24925,63.67823430973432
13113,111369,560.8112299908915
13115,96824,186.79594127576485
13117,219880,887.715048321763
13119,22514,84.56116246786304
13121,1021902,1911.2471664703082
13123,29922,69.02016400810042
13125,3009,20.770801312182336
13127,83974,177.9548103668085
13129,56790,157.78305082201473
13131,24926,53.98163466339133
13133,16976,41.74982785542298
13135,902298,2059.772619253845
13137,44289,158.74068762140007
13139,195961,455.6269690882563
13141,8535,17.817487073850135
13143,28956,101.9869572930322
13145,33590,71.10479777280077
13147,25631,99.30908430735052
13149,11677,38.85063919718276
13151,221307,675.6503343783263
13153,151682,398.7538683316579
13155,9268,25.541174439876254
13157,65755,191.2378770403645
13159,13784,36.9552310427943
13161,14991,44.636173821488505
13163,15772,29.678557332546784
13165,8827,24.94644824342111
13167,9730,31.749451152252465
13169,28548,72.32458398657545
13171,18513,99.9457477878921
13173,10366,52.02996742701335
13175,47418,57.90390983560161
13177,29348,81.02123911830604
13179,62108,113.9896609241542
13181,7799,30.19972518077864
13183,18156,44.89850073456417
